,,6Base_2 Avg:,-0.0333,-0.0329,-0.0203,BASELINE SUBTRACTED,,
Date & Time,Date,Time,PDIT705,PDIT706,PDIT707,PDIT705,PDIT706,PDIT707
12/14/2018 6:49:16.71,12/14/18,06:49:16:71,-0.04557,-0.10504,0.067773,,,
12/14/2018 6:49:16.90,12/14/18,06:49:16:90,-0.04467,-0.105,0.067733,,,
12/14/2018 6:49:17.10,12/14/18,06:49:17:10,-0.045421,-0.10504,0.067773,,,
12/14/2018 6:49:17.23,12/14/18,06:49:17:23,-0.04467,-0.10504,0.067773,,,
12/14/2018 6:49:17.51,12/14/18,06:49:17:51,-0.045421,-0.10504,0.067773,,,
12/14/2018 6:49:17.60,12/14/18,06:49:17:60,-0.04482,-0.10504,0.067773,,,
12/14/2018 6:49:17.79,12/14/18,06:49:17:79,-0.04452,-0.105,0.067733,,,
12/14/2018 6:49:17.98,12/14/18,06:49:17:98,-0.045721,-0.10504,0.067813,,,
12/14/2018 6:49:18.18,12/14/18,06:49:18:18,-0.04467,-0.10504,0.067773,,,
12/14/2018 6:49:18.37,12/14/18,06:49:18:37,-0.04437,-0.10504,0.067773,,,
12/14/2018 6:49:18.46,12/14/18,06:49:18:46,-0.04482,-0.10504,0.067773,,,
12/14/2018 6:49:18.77,12/14/18,06:49:18:77,-0.04437,-0.10504,0.067813,,,
12/14/2018 6:49:18.85,12/14/18,06:49:18:85,-0.04467,-0.10504,0.067813,,,
12/14/2018 6:49:18.94,12/14/18,06:49:18:94,-0.04497,-0.105,0.067813,,,
12/14/2018 6:49:19.15,12/14/18,06:49:19:15,-0.04452,-0.10504,0.067773,,,
12/14/2018 6:49:19.35,12/14/18,06:49:19:35,-0.04482,-0.10504,0.067813,,,
12/14/2018 6:49:19.54,12/14/18,06:49:19:54,-0.04467,-0.10504,0.067773,,,
12/14/2018 6:49:19.82,12/14/18,06:49:19:82,-0.04452,-0.10504,0.067813,,,
12/14/2018 6:49:19.91,12/14/18,06:49:19:91,-0.04497,-0.10504,0.067813,,,
12/14/2018 6:49:20.10,12/14/18,06:49:20:10,-0.04452,-0.105,0.067773,,,
12/14/2018 6:49:20.29,12/14/18,06:49:20:29,-0.04482,-0.10504,0.067773,,,
12/14/2018 6:49:20.51,12/14/18,06:49:20:51,-0.04467,-0.10504,0.067773,,,
12/14/2018 6:49:20.69,12/14/18,06:49:20:69,-0.04497,-0.105,0.067773,,,
12/14/2018 6:49:20.97,12/14/18,06:49:20:97,-0.04497,-0.10504,0.067813,,,
12/14/2018 6:49:21.07,12/14/18,06:49:21:07,-0.04527,-0.10504,0.067813,,,
12/14/2018 6:49:21.25,12/14/18,06:49:21:25,-0.04437,-0.105,0.067773,,,
12/14/2018 6:49:21.46,12/14/18,06:49:21:46,-0.04452,-0.105,0.067733,,,
12/14/2018 6:49:21.66,12/14/18,06:49:21:66,-0.045721,-0.10504,0.067813,,,
12/14/2018 6:49:21.86,12/14/18,06:49:21:86,-0.04392,-0.10504,0.067733,,,
12/14/2018 6:49:21.96,12/14/18,06:49:21:96,-0.04587,-0.10504,0.067773,,,
12/14/2018 6:49:22.25,12/14/18,06:49:22:25,-0.04422,-0.105,0.067773,,,
12/14/2018 6:49:22.35,12/14/18,06:49:22:35,-0.04482,-0.10504,0.067773,,,
12/14/2018 6:49:22.55,12/14/18,06:49:22:55,-0.045721,-0.10504,0.067773,,,
12/14/2018 6:49:22.75,12/14/18,06:49:22:75,-0.04452,-0.10508,0.067733,,,
12/14/2018 6:49:22.94,12/14/18,06:49:22:94,-0.045421,-0.10504,0.067813,,,
12/14/2018 6:49:23.13,12/14/18,06:49:23:13,-0.04407,-0.10504,0.067733,,,
12/14/2018 6:49:23.42,12/14/18,06:49:23:42,-0.04467,-0.10504,0.067733,,,
12/14/2018 6:49:23.52,12/14/18,06:49:23:52,-0.04362,-0.10504,0.067733,,,
12/14/2018 6:49:23.70,12/14/18,06:49:23:70,-0.04557,-0.10504,0.067773,,,
12/14/2018 6:49:23.92,12/14/18,06:49:23:92,-0.04497,-0.10504,0.067773,,,
12/14/2018 6:49:24.11,12/14/18,06:49:24:11,-0.04482,-0.10504,0.067733,,,
12/14/2018 6:49:24.30,12/14/18,06:49:24:30,-0.04482,-0.105,0.067773,,,
12/14/2018 6:49:24.58,12/14/18,06:49:24:58,-0.045121,-0.105,0.067773,,,
12/14/2018 6:49:24.67,12/14/18,06:49:24:67,-0.04587,-0.105,0.067773,,,
12/14/2018 6:49:24.86,12/14/18,06:49:24:86,-0.04362,-0.105,0.067773,,,
12/14/2018 6:49:25.06,12/14/18,06:49:25:06,-0.045421,-0.10504,0.067813,,,
12/14/2018 6:49:25.17,12/14/18,06:49:25:17,-0.045421,-0.10504,0.067813,,,
12/14/2018 6:49:25.36,12/14/18,06:49:25:36,-0.04422,-0.10504,0.067773,,,
12/14/2018 6:49:25.64,12/14/18,06:49:25:64,-0.04482,-0.10504,0.067813,,,
12/14/2018 6:49:25.73,12/14/18,06:49:25:73,-0.04452,-0.105,0.067773,,,
12/14/2018 6:49:25.92,12/14/18,06:49:25:92,-0.04527,-0.105,0.067813,,,
