DateTime,TE629,TE701,TE705,TE706A_1,TE706A_2,TE706B_1,TE706B_2,TE706C_1,TE706C_2,TE707A,TE707B,TE707C,TE708A_1,TE708A_2,TE708B_1,TE708B_2,TE708C_1,TE708C_2,TE709A,TE709B,TE709C,TE741A,TE743
2018-12-11 22:04:00,424.98699999999997,405.583,480.439,552.668,567.972,582.455,590.4590000000001,590.248,600.177,499.995,531.707,552.645,597.4069999999999,600.294,600.224,599.989,600.271,587.361,565.555,576.117,471.284,578.0419999999999,476.25
2018-12-11 22:05:00,424.98699999999997,405.63,479.145,552.246,567.691,582.314,590.225,590.178,600.107,500.465,531.989,554.475,597.337,600.224,600.341,599.919,600.201,587.22,567.785,578.488,471.401,578.089,476.156
2018-12-11 22:06:00,424.98699999999997,405.702,479.404,551.823,567.339,581.8919999999999,590.131,590.0369999999999,600.036,500.23,530.815,554.1469999999999,597.337,600.154,600.247,599.895,600.247,587.0790000000001,566.423,578.394,471.825,578.3,476.509
2018-12-11 22:07:00,424.98699999999997,405.654,480.086,551.471,567.127,581.751,590.0369999999999,589.896,599.966,500.51199999999994,530.651,553.9830000000001,597.196,600.0830000000001,600.365,599.895,600.036,586.985,566.7280000000001,577.995,470.978,578.441,476.744
2018-12-11 22:08:00,424.98699999999997,405.725,480.086,551.189,566.9159999999999,581.469,589.966,589.966,599.895,500.51199999999994,530.4630000000001,553.795,597.055,600.013,600.294,600.13,600.06,586.844,566.376,577.995,470.413,578.559,476.86199999999997
2018-12-11 22:09:00,424.98699999999997,405.725,479.592,550.9780000000001,566.634,581.328,589.872,589.826,599.942,499.69,530.4159999999999,553.607,596.914,599.942,600.201,599.942,599.872,586.633,566.447,577.854,471.048,578.559,476.085
2018-12-11 22:10:00,424.98699999999997,405.583,479.168,550.7669999999999,566.611,581.328,589.685,589.896,599.942,499.784,530.064,553.114,596.773,599.872,600.13,599.895,599.825,586.633,566.235,577.643,470.978,578.6990000000001,476.085
2018-12-11 22:11:00,424.98699999999997,405.654,478.957,550.556,566.4,581.047,589.732,589.755,599.942,499.85400000000004,529.7819999999999,553.889,596.703,599.8009999999999,600.13,599.895,599.755,586.422,566.634,577.69,470.76599999999996,578.981,475.944
2018-12-11 22:12:00,424.98699999999997,405.702,478.745,550.274,566.188,581.047,589.661,589.755,599.942,499.221,529.806,553.278,596.633,599.661,600.13,599.942,599.731,586.281,565.883,577.432,471.048,578.9580000000001,475.779
2018-12-11 22:13:00,424.98699999999997,405.702,480.439,550.063,565.9069999999999,580.742,589.661,589.826,599.872,499.713,529.8530000000001,553.255,596.492,599.661,600.201,599.872,599.731,586.258,566.094,577.432,471.23699999999997,579.263,475.661
2018-12-11 22:14:00,424.98699999999997,405.654,479.851,549.851,565.836,580.6709999999999,589.52,589.826,599.872,499.69,530.0169999999999,552.715,596.4209999999999,599.4490000000001,600.13,599.942,599.661,586.117,566.071,577.3380000000001,470.81300000000005,579.0980000000001,476.36800000000005
2018-12-11 22:15:00,424.98699999999997,405.63,479.42699999999996,549.64,565.695,580.46,589.497,589.732,599.872,498.915,529.219,552.48,596.281,599.4490000000001,600.036,599.778,599.496,585.976,565.719,576.845,470.531,579.38,476.13199999999995
2018-12-11 22:16:00,425.05800000000005,405.725,479.145,549.499,565.531,580.389,589.356,589.661,599.872,499.43199999999996,529.641,553.044,596.14,599.379,600.036,599.872,599.59,585.906,565.672,577.15,470.17699999999996,579.38,476.485
2018-12-11 22:17:00,425.034,405.559,479.80400000000003,549.3580000000001,565.39,580.249,589.4259999999999,589.661,599.872,499.64300000000003,529.36,552.621,596.187,599.309,599.895,599.8009999999999,599.52,585.624,565.93,577.3380000000001,470.601,579.591,476.485
