DateTime,TE629,TE701,TE705,TE706A_1,TE706A_2,TE706B_1,TE706B_2,TE706C_1,TE706C_2,TE707A,TE707B,TE707C,TE708A_1,TE708A_2,TE708B_1,TE708B_2,TE708C_1,TE708C_2,TE709A,TE709B,TE709C,TE741A,TE743
2018-12-19 16:36:00,424.964,402.858,514.149,566.423,574.545,586.539,593.0409999999999,593.839,599.919,524.806,550.884,565.836,599.59,600.4590000000001,598.651,596.14,596.985,588.816,573.395,577.408,484.18199999999996,586.023,492.48400000000004
2018-12-19 16:37:00,424.964,402.881,513.586,566.2819999999999,574.404,586.539,592.971,593.769,599.989,524.595,549.617,565.695,599.52,600.388,598.651,596.116,596.961,588.675,574.028,577.831,483.852,585.882,492.48400000000004
2018-12-19 16:38:00,424.964,402.92900000000003,514.008,566.212,574.3330000000001,586.469,592.994,593.769,599.989,524.876,550.391,566.259,599.52,600.318,598.675,596.14,597.055,588.675,573.747,577.901,484.464,585.882,492.202
2018-12-19 16:39:00,424.964,403.0,513.774,566.001,574.263,586.398,592.924,593.769,599.919,525.064,549.969,565.625,599.4490000000001,600.318,598.604,596.187,596.891,588.534,574.639,577.901,484.417,586.0930000000001,491.784
2018-12-19 16:40:00,424.964,402.92900000000003,514.2669999999999,565.93,574.193,586.258,592.783,593.628,600.06,525.064,549.617,565.9069999999999,599.379,600.318,598.604,596.187,596.891,588.464,574.286,577.6669999999999,484.48800000000006,585.953,492.13199999999995
2018-12-19 16:41:00,424.94,403.0,513.656,565.789,574.052,586.258,592.7130000000001,593.698,599.989,524.43,549.265,565.273,599.379,600.318,598.604,596.14,596.844,588.394,574.028,577.479,484.135,586.164,492.061
2018-12-19 16:42:00,425.01099999999997,403.0,512.8580000000001,565.719,573.981,586.117,592.7130000000001,593.628,599.989,524.219,549.452,565.508,599.309,600.247,598.675,596.14,596.773,588.394,573.582,577.385,483.99300000000005,586.234,492.202
2018-12-19 16:43:00,425.01099999999997,402.976,513.797,565.649,573.911,585.976,592.7130000000001,593.628,599.989,524.524,550.156,565.789,599.238,600.247,598.534,596.069,596.844,588.323,574.146,577.596,484.7,586.0930000000001,492.413
2018-12-19 16:44:00,425.01099999999997,402.92900000000003,514.196,565.508,573.841,585.976,592.7130000000001,593.698,599.989,524.571,549.03,565.32,599.238,600.247,598.534,596.0219999999999,596.797,588.253,573.441,577.6669999999999,484.417,586.023,492.55400000000003
2018-12-19 16:45:00,425.01099999999997,402.905,514.0790000000001,565.437,573.7,585.976,592.783,593.558,600.06,524.524,549.476,565.038,599.309,600.247,598.604,596.0219999999999,596.727,588.323,573.864,577.6669999999999,484.347,586.164,492.061
2018-12-19 16:46:00,425.01099999999997,402.976,513.656,565.367,573.7,585.976,592.7130000000001,593.558,599.989,523.82,549.1,565.531,599.168,600.177,598.675,595.999,596.703,588.3,573.653,577.385,484.629,586.023,492.17900000000003
2018-12-19 16:47:00,425.01099999999997,402.905,513.562,565.2959999999999,573.7,585.835,592.783,593.628,599.919,524.219,549.687,564.9209999999999,599.168,600.247,598.604,596.069,596.703,588.089,573.7230000000001,577.526,484.347,586.0930000000001,491.855
2018-12-19 16:48:00,425.01099999999997,402.976,513.703,565.2959999999999,573.629,585.906,592.783,593.558,599.919,524.149,549.476,565.695,599.097,600.107,598.534,596.0459999999999,596.68,588.182,573.7230000000001,577.737,484.55800000000005,586.305,491.714
2018-12-19 16:49:00,425.05800000000005,402.905,514.29,565.226,573.559,585.906,592.783,593.698,599.989,524.665,549.241,564.827,599.097,600.107,598.51,595.975,596.609,588.112,573.653,577.526,484.7,586.234,491.714
2018-12-19 16:50:00,425.05800000000005,402.81,514.689,565.085,573.559,585.835,592.807,593.698,600.06,524.501,550.156,565.531,599.097,600.107,598.557,595.905,596.609,588.112,574.146,577.596,484.81699999999995,586.234,491.50199999999995
2018-12-19 16:51:00,425.05800000000005,402.95300000000003,514.548,565.085,573.418,585.694,592.6419999999999,593.628,599.989,524.571,549.875,565.179,599.097,600.036,598.604,595.811,596.445,588.112,573.371,577.526,484.276,586.305,491.64300000000003
