DateTime,FIT600,FT702,FT750,PIT700,PIT780,PDIT700,PDIT704,PDIT780,ZC742,ZC762
2018-12-11 22:56:03,12.066628999999999,130.648878,304.962304,0.040909,2.02049,0.30143000000000003,0.024378999999999998,0.277442,44.5,44.0
2018-12-11 22:56:06,11.978629,130.648878,304.962304,0.020909,2.00049,0.29443,0.029379000000000002,0.259942,44.5,44.0
2018-12-11 22:56:08,12.058629,130.428878,304.715304,0.060909000000000005,1.8804900000000002,0.29503,0.026079,0.28444200000000003,44.5,44.0
2018-12-11 22:56:13,11.932628999999999,130.41487800000002,304.84630400000003,0.200909,2.04049,0.28773000000000004,0.031579,0.301942,44.5,44.0
2018-12-11 22:56:15,11.916628999999999,130.41487800000002,304.84630400000003,0.08090900000000001,2.12049,0.29673,0.029379000000000002,0.228442,44.5,44.0
2018-12-11 22:56:19,12.058629,130.212878,305.059304,0.020909,1.8604900000000002,0.28023000000000003,0.027979,0.28794200000000003,44.5,44.0
2018-12-11 22:56:21,12.014629,130.212878,305.059304,0.08090900000000001,2.10049,0.28983000000000003,0.025879000000000003,0.266942,44.5,44.0
2018-12-11 22:56:27,11.994629,130.452878,304.878304,0.020909,2.02049,0.30653,0.030879000000000004,0.280942,44.5,44.0
2018-12-11 22:56:29,12.048629,130.452878,304.878304,0.200909,2.2204900000000003,0.30333000000000004,0.027579000000000003,0.28794200000000003,44.5,44.0
2018-12-11 22:56:31,12.054628999999998,130.008878,304.808304,0.060909000000000005,1.9204900000000003,0.30003,0.029379000000000002,0.29144200000000003,44.5,44.0
2018-12-11 22:56:33,12.054628999999998,130.008878,304.808304,-0.079091,2.2404900000000003,0.29073000000000004,0.028279000000000002,0.315942,44.5,44.0
2018-12-11 22:56:37,12.078629,130.125878,305.027304,0.12090899999999999,2.06049,0.29863,0.026479000000000003,0.277442,44.5,44.0
2018-12-11 22:56:41,12.148629,130.386878,305.055304,0.060909000000000005,2.06049,0.28313,0.029979000000000002,0.322942,44.5,44.0
2018-12-11 22:56:43,11.962629,130.386878,305.055304,-0.159091,2.06049,0.28833000000000003,0.033879,0.322942,44.5,44.0
2018-12-11 22:56:47,12.022629,130.400878,305.130304,-0.119091,1.98049,0.29613,0.031879000000000005,0.301942,44.5,44.0
2018-12-11 22:56:49,11.990629,130.360878,305.357304,0.040909,2.10049,0.30543000000000003,0.026479000000000003,0.308942,44.5,44.0
2018-12-11 22:56:53,12.014629,130.183878,305.186304,0.060909000000000005,2.58049,0.29673,0.027879,0.301942,44.5,44.0
2018-12-11 22:56:55,11.994629,130.183878,305.186304,0.000909,1.8004900000000001,0.30423,0.027279,0.280942,44.5,44.0
2018-12-11 22:56:59,12.072629,129.78987800000002,304.964304,0.020909,1.98049,0.29673,0.026379000000000003,0.301942,44.5,44.0
2018-12-11 22:57:01,12.046629,129.78987800000002,304.964304,-0.059091,2.1804900000000003,0.30243000000000003,0.031279,0.252942,44.5,44.0
2018-12-11 22:57:05,11.962629,130.081878,305.264304,-0.059091,2.30049,0.31083,0.027879,0.315942,44.5,44.0
2018-12-11 22:57:07,12.104629,130.273878,304.754304,0.160909,2.02049,0.30143000000000003,0.026779,0.312442,44.5,44.0
2018-12-11 22:57:11,12.024629,130.367878,305.101304,0.040909,2.00049,0.30563,0.029679,0.315942,44.5,44.0
2018-12-11 22:57:13,12.004629,130.367878,305.101304,0.040909,2.12049,0.30283000000000004,0.031279,0.28444200000000003,44.5,44.0
2018-12-11 22:57:17,11.984629,130.370878,304.965304,0.060909000000000005,1.8604900000000002,0.30423,0.031479,0.28444200000000003,44.5,44.0
2018-12-11 22:57:19,12.026629,130.370878,304.965304,0.040909,1.76049,0.31743000000000005,0.025779000000000003,0.245942,44.5,44.0
2018-12-11 22:57:23,12.032629,130.412878,304.985304,0.22090900000000002,2.1404900000000002,0.31413,0.027079000000000002,0.28444200000000003,44.5,44.0
