DateTime,TE629,TE701,TE705,TE706A_1,TE706A_2,TE706B_1,TE706B_2,TE706C_1,TE706C_2,TE707A,TE707B,TE707C,TE708A_1,TE708A_2,TE708B_1,TE708B_2,TE708C_1,TE708C_2,TE709A,TE709B,TE709C,TE741A,TE743
2018-12-10 11:46:00,420.48900000000003,383.33099999999996,378.022,452.17199999999997,511.215,544.124,565.203,560.085,600.0830000000001,414.091,446.68800000000005,483.005,583.23,599.989,578.981,600.036,574.263,565.461,491.666,512.4119999999999,323.008,565.132,379.586
2018-12-10 11:47:00,420.37,383.923,378.11699999999996,452.478,511.49699999999996,544.265,565.273,560.085,599.942,414.256,446.994,482.958,583.183,600.0830000000001,578.981,599.966,574.3330000000001,565.602,492.155,512.295,323.676,564.874,379.468
2018-12-10 11:48:00,420.29900000000004,384.208,378.35400000000004,452.902,511.73199999999997,544.359,565.2959999999999,560.039,599.942,414.49300000000005,446.9,483.287,583.183,600.013,579.145,600.036,574.3330000000001,565.766,491.83099999999996,512.741,324.178,564.8969999999999,379.468
2018-12-10 11:49:00,420.29900000000004,384.56300000000005,378.35400000000004,453.043,511.87199999999996,544.523,565.2959999999999,560.132,599.966,414.42199999999997,446.782,482.793,583.183,600.013,579.075,600.107,574.3330000000001,565.836,492.038,512.6,324.13,564.827,379.278
2018-12-10 11:50:00,420.394,384.918,378.71,453.39599999999996,512.178,544.5930000000001,565.437,560.132,600.107,414.63599999999997,447.22900000000004,483.452,583.136,600.036,579.145,600.13,574.498,566.048,492.67199999999997,512.882,324.297,564.757,379.421
2018-12-10 11:51:00,420.536,385.48699999999997,378.899,453.631,512.318,544.5930000000001,565.3430000000001,560.132,599.895,415.015,447.3,483.405,583.136,600.036,579.052,600.154,574.521,566.071,492.343,512.905,324.871,564.9680000000001,379.349
2018-12-10 11:52:00,420.75,385.89,379.01800000000003,454.00800000000004,512.6,544.734,565.461,560.085,600.036,415.204,447.606,483.852,583.089,599.989,579.169,600.0830000000001,574.592,566.306,492.648,512.999,325.086,564.9680000000001,379.231
2018-12-10 11:53:00,421.05800000000005,386.31699999999995,379.444,454.29,512.835,544.828,565.484,560.085,599.966,415.48900000000003,447.535,483.852,583.089,599.989,579.122,600.107,574.686,566.447,492.81199999999995,513.375,325.539,564.71,379.255
2018-12-10 11:54:00,421.413,386.791,379.681,454.57300000000004,513.14,544.992,565.484,560.179,599.989,415.86800000000005,447.912,483.735,583.112,599.942,579.192,600.154,574.686,566.54,492.789,513.281,325.39599999999996,564.944,379.278
2018-12-10 11:55:00,421.69800000000004,387.12199999999996,379.94199999999995,454.996,513.492,545.063,565.531,560.179,599.989,416.27099999999996,447.865,484.158,583.065,599.872,579.169,600.177,574.756,566.54,493.0,513.351,325.492,564.804,379.13599999999997
2018-12-10 11:56:00,422.148,387.644,380.36800000000005,455.30199999999996,513.703,545.274,565.742,560.179,600.013,416.342,448.335,484.22900000000004,582.995,599.895,579.239,600.13,574.92,566.564,492.906,513.609,325.587,565.015,379.16
2018-12-10 11:57:00,422.574,387.976,380.77099999999996,455.608,513.915,545.438,565.695,560.203,600.013,417.029,448.806,484.841,582.995,599.825,579.122,600.201,574.92,566.799,493.587,513.797,326.30400000000003,565.109,379.01800000000003
2018-12-10 11:58:00,423.07199999999995,388.355,381.103,455.89099999999996,514.22,545.5319999999999,565.695,560.297,599.966,417.219,448.92400000000004,485.241,582.924,599.778,579.169,600.0830000000001,574.944,566.799,494.05699999999996,514.4069999999999,326.543,565.273,379.041
