item,start,stop,catflow,mean,std,max,min
001,2018-12-11 16:38:12,2018-12-11 16:53:49,0.0,-0.008099947368421054,0.0005375204751887852,-0.006721,-0.009621
005,2018-12-19 09:39:48,2018-12-19 09:55:00,0.0,-0.011272054054054055,0.0004718163070271409,-0.009443,-0.012643
009,2018-12-10 18:39:01,2018-12-10 18:56:57,0.0,-0.010736285714285714,0.0004959635680439162,-0.009046,-0.012146
002,2018-12-11 22:04:00,2018-12-11 22:16:59,45.7,0.012364375494071145,0.0012278770706012011,0.017379,0.008979000000000001
006,2018-12-19 14:51:29,2018-12-19 15:05:59,49.5,0.011270120567375887,0.0013842806550808237,0.016357,0.008057
010,2018-12-10 23:16:03,2018-12-10 23:31:00,44.3,0.01101035738831615,0.001259769736529075,0.016454,0.006654
003,2018-12-11 22:54:01,2018-12-11 23:06:00,91.3,0.028622776824034336,0.0019295048904813886,0.033879,0.023779
007,2018-12-19 16:36:06,2018-12-19 16:50:50,95.3,0.02778532167832168,0.002047677841305613,0.034657,0.022057
011,2018-12-10 22:23:01,2018-12-10 22:38:00,91.6,0.026545065292096222,0.0017367992456988738,0.030554,0.021954
004,2018-12-11 23:45:00,2018-12-11 23:55:59,137.8,0.041950830985915497,0.002519725001762502,0.048379000000000005,0.036279
008,2018-12-19 15:58:02,2018-12-19 16:12:57,136.5,0.03896975862068966,0.0028474008017167983,0.047957,0.026557
012,2018-12-10 21:47:28,2018-12-10 22:02:00,141.7,0.03945611267605634,0.0031643769908007834,0.048054,0.029654000000000007
