item,start,stop,catflow,mean,std,max,min
025,2018-12-10 11:46:03,2018-12-10 11:57:58,0.0,0.017118706896551726,0.0007731411503689288,0.019295,0.014795
029,2018-12-12 10:43:27,2018-12-12 10:58:58,0.0,0.0243082119205298,0.0012209614892627633,0.02734,0.02104
033,2018-12-13 19:25:53,2018-12-13 19:40:00,0.0,0.022260363636363637,0.0010146927254790063,0.024496,0.018496
026,2018-12-10 14:43:01,2018-12-10 15:00:00,53.2,0.10506601910828026,0.004068662391325407,0.115595,0.095195
030,2018-12-13 12:23:05,2018-12-13 12:39:00,46.9,0.09640894498381877,0.0038675423503019297,0.107996,0.080596
034,2018-12-14 15:37:47,2018-12-14 15:46:57,56.5,0.10621404494382024,0.003901708945902246,0.11845,0.09725
027,2018-12-10 14:14:26,2018-12-10 14:29:57,99.7,0.24454588339222616,0.010627938438755919,0.280895,0.220595
031,2018-12-13 13:36:00,2018-12-13 13:54:00,98.4,0.2424922857142857,0.011515180608455695,0.275696,0.209096
035,2018-12-14 16:28:14,2018-12-14 16:39:59,97.1,0.24044207048458147,0.015074329954270974,0.29545,0.16345
028,2018-12-10 15:25:03,2018-12-10 15:39:57,140.1,0.35343167820069205,0.02001959727463184,0.414095,0.290995
032,2018-12-13 11:22:00,2018-12-13 11:37:00,140.9,0.36308431615120274,0.019618086331057043,0.410296,0.300296
036,2018-12-14 18:31:11,2018-12-14 18:43:00,144.8,0.397853056768559,0.021727338250629998,0.44245,0.34075
