item,start,stop,catflow,mean,std,max,min
013,2018-12-18 10:02:03,2018-12-18 10:14:58,0.0,-0.019139492063492063,0.00045579109889638597,-0.018076,-0.020376
017,2018-12-17 12:32:10,2018-12-17 12:46:56,0.0,-0.018850333333333334,0.0011253493456815018,-0.016942,-0.025242
021,2018-12-18 15:51:23,2018-12-18 16:05:00,0.0,-0.01848319696969697,0.0005712248388933462,-0.016776,-0.019876
014,2018-12-18 14:21:03,2018-12-18 14:36:00,45.8,0.005674689655172414,0.0016417191407981013,0.009924,0.001124
018,2018-12-17 20:00:10,2018-12-17 20:11:59,45.1,0.0015297391304347826,0.0016012362914034697,0.006858,-0.004242
022,2018-12-18 19:10:12,2018-12-18 19:23:58,47.3,0.003752358208955224,0.0017006327062428403,0.008324,-0.0008759999999999999
015,2018-12-18 13:33:31,2018-12-18 13:45:00,89.2,0.023690367713004482,0.0023215963731953782,0.031824,0.018024
019,2018-12-17 17:53:02,2018-12-17 18:04:58,95.1,0.021984293103448273,0.002219599445230659,0.028158,0.016058000000000003
023,2018-12-18 20:29:23,2018-12-18 20:41:00,94.6,0.025206222222222224,0.0024713436997997025,0.033324,0.019824
016,2018-12-18 13:03:29,2018-12-18 13:15:52,131.8,0.03420108333333333,0.003408397185449436,0.044124,0.025424
020,2018-12-17 18:39:02,2018-12-17 18:50:57,138.2,0.03496615450643776,0.0031018865966994163,0.046458,0.028358
024,2018-12-18 19:59:44,2018-12-18 20:11:58,141.3,0.03548744537815126,0.002914992509120305,0.044424,0.026324
