item,start,stop,catflow,mean,std,max,min
001,2018-12-11 16:38:00.190,2018-12-11 16:53:59.860,0.0,0.005774109689213895,8.70779583055846e-05,0.006059,0.005539
005,2018-12-19 09:39:44.000,2018-12-19 09:54:59.830,0.0,0.004169027551659362,0.0001693036495599475,0.004973,0.00273
009,2018-12-10 18:39:00.040,2018-12-10 18:56:59.890,0.0,0.0047320390006093845,0.00011768659310147253,0.005396,0.004236
002,2018-12-11 22:04:00.150,2018-12-11 22:16:59.910,45.7,0.02103586481947943,0.000786867984125848,0.025606,0.019678
006,2018-12-19 14:51:17.480,2018-12-19 15:05:59.910,49.5,0.020143948066058237,0.0004586551754901127,0.021516,0.018792
010,2018-12-10 23:16:03.060,2018-12-10 23:30:59.930,44.3,0.019565096252755328,0.000441576438897818,0.021536000000000003,0.017376
003,2018-12-11 22:54:00.130,2018-12-11 23:05:59.820,91.3,0.04175671272395992,0.0006865187242600744,0.044112,0.040106
007,2018-12-19 16:36:13.250,2018-12-19 16:50:58.620,95.3,0.04119652173913044,0.0007049427795936134,0.043106,0.03914
011,2018-12-10 22:23:14.980,2018-12-10 22:37:59.920,91.6,0.03996239067922657,0.0006692178114184109,0.041846,0.037996
004,2018-12-11 23:45:00.180,2018-12-11 23:55:59.790,137.8,0.06371889209827357,0.0011407848609390982,0.06642200000000001,0.060574
008,2018-12-19 15:58:00.240,2018-12-19 16:12:59.760,136.5,0.05947968334416288,0.0017582684679611916,0.066097,0.051317
012,2018-12-10 21:47:39.650,2018-12-10 22:01:59.960,141.7,0.06266711308767473,0.0023901084036415804,0.069526,0.054226
